name,url_jugador
Erling Haaland,https://img.a.transfermarkt.technology/portrait/medium/418560-1694590614.jpg?lm=1
Antony,https://img.a.transfermarkt.technology/portrait/medium/602105-1680698738.jpg?lm=1
Wesley Fofana,https://img.a.transfermarkt.technology/portrait/medium/475411-1683899212.jpg?lm=1
Aurélien Tchouaméni,https://img.a.transfermarkt.technology/portrait/medium/413112-1668500754.jpg?lm=1
Casemiro,https://img.a.transfermarkt.technology/portrait/medium/16306-1699018876.jpg?lm=1
Alexander Isak,https://img.a.transfermarkt.technology/portrait/medium/349066-1680791339.jpg?lm=1
Matthijs de Ligt,https://img.a.transfermarkt.technology/portrait/medium/326031-1700659567.jpg?lm=1
Raheem Sterling,https://img.a.transfermarkt.technology/portrait/medium/134425-1684165974.jpg?lm=1
Sadio Mané,https://img.a.transfermarkt.technology/portrait/medium/200512-1667830279.jpg?lm=1
Romelu Lukaku,https://img.a.transfermarkt.technology/portrait/medium/96341-1661780981.jpg?lm=1
Marc Cucurella,https://img.a.transfermarkt.technology/portrait/medium/284857-1659559729.jpg?lm=1
Federico Chiesa,https://img.a.transfermarkt.technology/portrait/medium/341092-1663576975.jpg?lm=1
Jules Koundé,https://img.a.transfermarkt.technology/portrait/medium/411975-1702502639.jpg?lm=1
Raphinha,https://img.a.transfermarkt.technology/portrait/medium/411295-1665127690.jpg?lm=1
Richarlison,https://img.a.transfermarkt.technology/portrait/medium/378710-1665608231.jpg?lm=1
Lisandro Martínez,https://img.a.transfermarkt.technology/portrait/medium/480762-1680681507.jpg?lm=1
Darwin Núñez,https://img.a.transfermarkt.technology/portrait/medium/546543-1681827179.jpg?lm=1
Fabián Ruiz,https://img.a.transfermarkt.technology/portrait/medium/350219-1672303440.jpg?lm=1
Gabriel Jesus,https://img.a.transfermarkt.technology/portrait/medium/363205-1669711141.jpg?lm=1
Cristian Romero,https://img.a.transfermarkt.technology/portrait/medium/355915-1665609429.jpg?lm=1
Kalvin Phillips,https://img.a.transfermarkt.technology/portrait/medium/351749-1661978510.jpg?lm=1
Carlos Soler,https://img.a.transfermarkt.technology/portrait/medium/372246-1662059930.jpg?lm=1
Paul Pogba,https://img.a.transfermarkt.technology/portrait/medium/122153-1687966325.jpg?lm=1
Robert Lewandowski,https://img.a.transfermarkt.technology/portrait/medium/38253-1701118759.jpg?lm=1
Matheus Nunes,https://img.a.transfermarkt.technology/portrait/medium/601883-1693561106.jpg?lm=1
Franck Kessié,https://img.a.transfermarkt.technology/portrait/medium/294808-1691613615.jpg?lm=1
Enzo Fernández,https://img.a.transfermarkt.technology/portrait/medium/648195-1669894717.jpg?lm=1
Lucas Paquetá,https://img.a.transfermarkt.technology/portrait/medium/444523-1695370009.jpg?lm=1
Amine Gouiri,https://img.a.transfermarkt.technology/portrait/medium/418659-1649428727.jpg?lm=1
Vitinha,https://img.a.transfermarkt.technology/portrait/medium/487469-1672303629.jpg?lm=1
Nuno Mendes,https://img.a.transfermarkt.technology/portrait/medium/616341-1672304855.jpg?lm=1
Gonçalo Guedes,https://img.a.transfermarkt.technology/portrait/medium/225122-1701334424.jpg?lm=1
Diego Carlos,https://img.a.transfermarkt.technology/portrait/medium/329145-1695656525.jpg?lm=1
Antonio Rüdiger,https://img.a.transfermarkt.technology/portrait/medium/86202-1684484602.jpg?lm=1
Kalidou Koulibaly,https://img.a.transfermarkt.technology/portrait/medium/93128-1697050549.png?lm=1
Sven Botman,https://img.a.transfermarkt.technology/portrait/medium/361093-1683290679.jpg?lm=1
